Date : 2023-12-29 22:52:33
Directory : e:\work\github\EasyEngine
Total : 2325 files,  417012 codes, 103778 comments, 60550 blanks, all 581340 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| engine\source\runtime\function\render\preprocessing                                                                            |          2 |         38 |          0 |          4 |         42 |
| engine\source\runtime\function\render\scene                                                                                    |          2 |         91 |          5 |         14 |        110 |
| engine\source\runtime\function\render\test                                                                                     |         26 |      1,715 |         93 |        234 |      2,042 |
| engine\source\runtime\include                                                                                                  |          8 |        184 |         10 |         17 |        211 |
| engine\source\runtime\platform                                                                                                 |          2 |         39 |          0 |          2 |         41 |
| engine\source\runtime\platform\path_utility                                                                                    |          2 |         39 |          0 |          2 |         41 |
| engine\source\runtime\resource                                                                                                 |         20 |        987 |         43 |        139 |      1,169 |
| engine\source\runtime\resource\asset_manager                                                                                   |          2 |         19 |         10 |          5 |         34 |
| engine\source\runtime\resource\config_manager                                                                                  |          2 |         93 |          1 |          4 |         98 |
| engine\source\runtime\resource\res_type                                                                                        |         16 |        875 |         32 |        130 |      1,037 |
| engine\source\runtime\resource\res_type\common                                                                                 |          2 |         49 |          0 |         12 |         61 |
| engine\source\runtime\resource\res_type\components                                                                             |         14 |        826 |         32 |        118 |        976 |
| engine\source\runtime\src                                                                                                      |          8 |        423 |         79 |         67 |        569 |
| engine\third-party                                                                                                             |      2,143 |    409,701 |    103,296 |     59,332 |    572,329 |
| engine\third-party\assimp                                                                                                      |         90 |     10,331 |     11,943 |      3,272 |     25,546 |
| engine\third-party\assimp\include                                                                                              |         90 |     10,331 |     11,943 |      3,272 |     25,546 |
| engine\third-party\assimp\include\assimp                                                                                       |         90 |     10,331 |     11,943 |      3,272 |     25,546 |
| engine\third-party\assimp\include\assimp (Files)                                                                               |         85 |      9,652 |     11,564 |      3,167 |     24,383 |
| engine\third-party\assimp\include\assimp\Compiler                                                                              |          3 |        624 |        287 |         69 |        980 |
| engine\third-party\assimp\include\assimp\port                                                                                  |          2 |         55 |         92 |         36 |        183 |
| engine\third-party\assimp\include\assimp\port\AndroidJNI                                                                       |          2 |         55 |         92 |         36 |        183 |
| engine\third-party\glad                                                                                                        |          3 |      5,461 |        210 |         94 |      5,765 |
| engine\third-party\glad\include                                                                                                |          2 |      3,692 |        185 |         47 |      3,924 |
| engine\third-party\glad\include\KHR                                                                                            |          1 |        117 |        165 |         30 |        312 |
| engine\third-party\glad\include\glad                                                                                           |          1 |      3,575 |         20 |         17 |      3,612 |
| engine\third-party\glad\src                                                                                                    |          1 |      1,769 |         25 |         47 |      1,841 |
| engine\third-party\glfw-master                                                                                                 |        126 |     75,679 |     17,364 |     10,814 |    103,857 |
| engine\third-party\glfw-master (Files)                                                                                         |          3 |        654 |          0 |         58 |        712 |
| engine\third-party\glfw-master\.github                                                                                         |          1 |         81 |          0 |         14 |         95 |
| engine\third-party\glfw-master\.github\workflows                                                                               |          1 |         81 |          0 |         14 |         95 |
| engine\third-party\glfw-master\CMake                                                                                           |          7 |        116 |          0 |         26 |        142 |
| engine\third-party\glfw-master\CMake (Files)                                                                                   |          5 |         88 |          0 |         17 |        105 |
| engine\third-party\glfw-master\CMake\modules                                                                                   |          2 |         28 |          0 |          9 |         37 |
| engine\third-party\glfw-master\deps                                                                                            |         15 |     37,180 |      6,542 |      3,307 |     47,029 |
| engine\third-party\glfw-master\deps (Files)                                                                                    |          8 |     21,748 |      5,776 |      2,297 |     29,821 |
| engine\third-party\glfw-master\deps\glad                                                                                       |          3 |     12,960 |        438 |        736 |     14,134 |
| engine\third-party\glfw-master\deps\mingw                                                                                      |          3 |      2,320 |        273 |        233 |      2,826 |
| engine\third-party\glfw-master\deps\vs2008                                                                                     |          1 |        152 |         55 |         41 |        248 |
| engine\third-party\glfw-master\docs                                                                                            |          8 |      1,597 |         38 |        218 |      1,853 |
| engine\third-party\glfw-master\examples                                                                                        |         11 |      2,807 |        868 |        821 |      4,496 |
| engine\third-party\glfw-master\include                                                                                         |          2 |        744 |      6,008 |        308 |      7,060 |
| engine\third-party\glfw-master\include\GLFW                                                                                    |          2 |        744 |      6,008 |        308 |      7,060 |
| engine\third-party\glfw-master\src                                                                                             |         59 |     26,571 |      3,217 |      4,816 |     34,604 |
| engine\third-party\glfw-master\tests                                                                                           |         20 |      5,929 |        691 |      1,246 |      7,866 |
| engine\third-party\glm                                                                                                         |      1,425 |    223,131 |     25,345 |     24,746 |    273,222 |
| engine\third-party\glm (Files)                                                                                                 |          4 |      3,408 |          0 |      1,038 |      4,446 |
| engine\third-party\glm\cmake                                                                                                   |          2 |         26 |          0 |          9 |         35 |
| engine\third-party\glm\cmake\glm                                                                                               |          2 |         26 |          0 |          9 |         35 |
| engine\third-party\glm\doc                                                                                                     |        797 |    158,618 |     11,590 |      7,634 |    177,842 |
| engine\third-party\glm\doc (Files)                                                                                             |          1 |      6,825 |      7,914 |         42 |     14,781 |
| engine\third-party\glm\doc\api                                                                                                 |        795 |    150,579 |      3,630 |      7,355 |    161,564 |
| engine\third-party\glm\doc\api (Files)                                                                                         |        607 |    143,270 |      3,129 |      7,051 |    153,450 |
| engine\third-party\glm\doc\api\search                                                                                          |        188 |      7,309 |        501 |        304 |      8,114 |
| engine\third-party\glm\doc\theme                                                                                               |          1 |      1,214 |         46 |        237 |      1,497 |
| engine\third-party\glm\glm                                                                                                     |        419 |     39,762 |     12,909 |     10,108 |     62,779 |
| engine\third-party\glm\glm (Files)                                                                                             |         23 |      1,713 |      1,249 |        446 |      3,408 |
| engine\third-party\glm\glm\detail                                                                                              |         61 |     16,884 |      1,101 |      3,025 |     21,010 |
| engine\third-party\glm\glm\ext                                                                                                 |        163 |      3,828 |      3,774 |      1,596 |      9,198 |
| engine\third-party\glm\glm\gtc                                                                                                 |         38 |      5,304 |      3,366 |      2,088 |     10,758 |
| engine\third-party\glm\glm\gtx                                                                                                 |        124 |     10,614 |      3,036 |      2,640 |     16,290 |
| engine\third-party\glm\glm\simd                                                                                                |         10 |      1,419 |        383 |        313 |      2,115 |
| engine\third-party\glm\test                                                                                                    |        203 |     21,317 |        846 |      5,957 |     28,120 |
| engine\third-party\glm\test\bug                                                                                                |          1 |         23 |          2 |          7 |         32 |
| engine\third-party\glm\test\cmake                                                                                              |          1 |         19 |          0 |          4 |         23 |
| engine\third-party\glm\test\core                                                                                               |         55 |      8,977 |        297 |      2,331 |     11,605 |
| engine\third-party\glm\test\ext                                                                                                |         55 |      3,771 |          8 |      1,139 |      4,918 |
| engine\third-party\glm\test\gtc                                                                                                |         21 |      4,342 |        220 |      1,161 |      5,723 |
| engine\third-party\glm\test\gtx                                                                                                |         64 |      3,504 |        319 |      1,075 |      4,898 |
| engine\third-party\glm\test\perf                                                                                               |          6 |        681 |          0 |        240 |        921 |
| engine\third-party\jsoncpp                                                                                                     |        167 |     11,952 |      1,861 |      1,842 |     15,655 |
| engine\third-party\jsoncpp (Files)                                                                                             |         11 |        556 |         54 |        109 |        719 |
| engine\third-party\jsoncpp\.github                                                                                             |          2 |         35 |          0 |         13 |         48 |
| engine\third-party\jsoncpp\.github\ISSUE_TEMPLATE                                                                              |          2 |         35 |          0 |         13 |         48 |
| engine\third-party\jsoncpp\.travis_scripts                                                                                     |          8 |        417 |         87 |         91 |        595 |
| engine\third-party\jsoncpp\cmake                                                                                               |          1 |         23 |          0 |          1 |         24 |
| engine\third-party\jsoncpp\devtools                                                                                            |          8 |        561 |        150 |         61 |        772 |
| engine\third-party\jsoncpp\doc                                                                                                 |          2 |         67 |         16 |          4 |         87 |
| engine\third-party\jsoncpp\example                                                                                             |          7 |         93 |         45 |         14 |        152 |
| engine\third-party\jsoncpp\example (Files)                                                                                     |          1 |         11 |          0 |          3 |         14 |
| engine\third-party\jsoncpp\example\readFromStream                                                                              |          3 |         23 |         15 |          3 |         41 |
| engine\third-party\jsoncpp\example\readFromString                                                                              |          1 |         27 |          9 |          3 |         39 |
| engine\third-party\jsoncpp\example\streamWrite                                                                                 |          1 |         12 |          9 |          3 |         24 |
| engine\third-party\jsoncpp\example\stringWrite                                                                                 |          1 |         20 |         12 |          2 |         34 |
| engine\third-party\jsoncpp\include                                                                                             |         12 |      1,104 |        822 |        300 |      2,226 |
| engine\third-party\jsoncpp\include (Files)                                                                                     |          2 |         52 |          0 |          4 |         56 |
| engine\third-party\jsoncpp\include\json                                                                                        |         10 |      1,052 |        822 |        296 |      2,170 |
| engine\third-party\jsoncpp\src                                                                                                 |         11 |      8,577 |        600 |      1,125 |     10,302 |
| engine\third-party\jsoncpp\src\jsontestrunner                                                                                  |          1 |        298 |         15 |         31 |        344 |
| engine\third-party\jsoncpp\src\lib_json                                                                                        |          5 |      4,372 |        338 |        486 |      5,196 |
| engine\third-party\jsoncpp\src\test_lib_json                                                                                   |          5 |      3,907 |        247 |        608 |      4,762 |
| engine\third-party\jsoncpp\test                                                                                                |        105 |        519 |         87 |        124 |        730 |
| engine\third-party\jsoncpp\test (Files)                                                                                        |          5 |        306 |         36 |         42 |        384 |
| engine\third-party\jsoncpp\test\data                                                                                           |         64 |        116 |         51 |         78 |        245 |
| engine\third-party\jsoncpp\test\jsonchecker                                                                                    |         36 |         97 |          0 |          4 |        101 |
| engine\third-party\opencv                                                                                                      |        332 |     83,147 |     46,573 |     18,564 |    148,284 |
| engine\third-party\opencv\include                                                                                              |        332 |     83,147 |     46,573 |     18,564 |    148,284 |
| engine\third-party\opencv\include\opencv2                                                                                      |        332 |     83,147 |     46,573 |     18,564 |    148,284 |
| engine\third-party\opencv\include\opencv2 (Files)                                                                              |         19 |      5,019 |     14,566 |      1,859 |     21,444 |
| engine\third-party\opencv\include\opencv2\calib3d                                                                              |          2 |         90 |         87 |         23 |        200 |
| engine\third-party\opencv\include\opencv2\core                                                                                 |        128 |     55,453 |     16,668 |     10,378 |     82,499 |
| engine\third-party\opencv\include\opencv2\core (Files)                                                                         |         47 |     20,011 |     11,709 |      4,926 |     36,646 |
| engine\third-party\opencv\include\opencv2\core\cuda                                                                            |         30 |      7,588 |      1,510 |      1,504 |     10,602 |
| engine\third-party\opencv\include\opencv2\core\cuda (Files)                                                                    |         24 |      4,801 |      1,226 |        980 |      7,007 |
| engine\third-party\opencv\include\opencv2\core\cuda\detail                                                                     |          6 |      2,787 |        284 |        524 |      3,595 |
| engine\third-party\opencv\include\opencv2\core\detail                                                                          |          3 |         88 |         32 |         30 |        150 |
| engine\third-party\opencv\include\opencv2\core\hal                                                                             |         17 |     25,146 |      2,493 |      3,415 |     31,054 |
| engine\third-party\opencv\include\opencv2\core\opencl                                                                          |         18 |      1,640 |        655 |        186 |      2,481 |
| engine\third-party\opencv\include\opencv2\core\opencl (Files)                                                                  |          3 |        286 |         19 |         73 |        378 |
| engine\third-party\opencv\include\opencv2\core\opencl\runtime                                                                  |         15 |      1,354 |        636 |        113 |      2,103 |
| engine\third-party\opencv\include\opencv2\core\opencl\runtime (Files)                                                          |          9 |        229 |        288 |         85 |        602 |
| engine\third-party\opencv\include\opencv2\core\opencl\runtime\autogenerated                                                    |          6 |      1,125 |        348 |         28 |      1,501 |
| engine\third-party\opencv\include\opencv2\core\parallel                                                                        |          3 |        196 |         71 |         51 |        318 |
| engine\third-party\opencv\include\opencv2\core\parallel (Files)                                                                |          1 |         23 |         53 |         15 |         91 |
| engine\third-party\opencv\include\opencv2\core\parallel\backend                                                                |          2 |        173 |         18 |         36 |        227 |
| engine\third-party\opencv\include\opencv2\core\utils                                                                           |         10 |        784 |        198 |        266 |      1,248 |
| engine\third-party\opencv\include\opencv2\dnn                                                                                  |         10 |      1,746 |      1,670 |        528 |      3,944 |
| engine\third-party\opencv\include\opencv2\dnn (Files)                                                                          |          8 |      1,716 |      1,618 |        502 |      3,836 |
| engine\third-party\opencv\include\opencv2\dnn\utils                                                                            |          2 |         30 |         52 |         26 |        108 |
| engine\third-party\opencv\include\opencv2\features2d                                                                           |          2 |         21 |         53 |          9 |         83 |
| engine\third-party\opencv\include\opencv2\features2d (Files)                                                                   |          1 |          4 |         42 |          3 |         49 |
| engine\third-party\opencv\include\opencv2\features2d\hal                                                                       |          1 |         17 |         11 |          6 |         34 |
| engine\third-party\opencv\include\opencv2\flann                                                                                |         36 |      6,894 |      2,953 |      1,769 |     11,616 |
| engine\third-party\opencv\include\opencv2\gapi                                                                                 |         89 |      9,180 |      6,752 |      2,496 |     18,428 |
| engine\third-party\opencv\include\opencv2\gapi (Files)                                                                         |         32 |      4,803 |      5,011 |      1,289 |     11,103 |
| engine\third-party\opencv\include\opencv2\gapi\cpu                                                                             |          5 |        446 |        110 |        114 |        670 |
| engine\third-party\opencv\include\opencv2\gapi\fluid                                                                           |          4 |        425 |         96 |        119 |        640 |
| engine\third-party\opencv\include\opencv2\gapi\gpu                                                                             |          3 |         31 |         24 |         21 |         76 |
| engine\third-party\opencv\include\opencv2\gapi\infer                                                                           |          4 |        483 |        383 |        124 |        990 |
| engine\third-party\opencv\include\opencv2\gapi\oak                                                                             |          2 |        107 |         79 |         40 |        226 |
| engine\third-party\opencv\include\opencv2\gapi\ocl                                                                             |          3 |        191 |         57 |         58 |        306 |
| engine\third-party\opencv\include\opencv2\gapi\own                                                                             |          8 |        629 |        173 |        158 |        960 |
| engine\third-party\opencv\include\opencv2\gapi\plaidml                                                                         |          3 |        136 |         30 |         50 |        216 |
| engine\third-party\opencv\include\opencv2\gapi\python                                                                          |          1 |         38 |         13 |         17 |         68 |
| engine\third-party\opencv\include\opencv2\gapi\render                                                                          |          2 |        254 |        243 |         60 |        557 |
| engine\third-party\opencv\include\opencv2\gapi\s11n                                                                            |          1 |         30 |         39 |         12 |         81 |
| engine\third-party\opencv\include\opencv2\gapi\streaming                                                                       |         13 |        628 |        361 |        202 |      1,191 |
| engine\third-party\opencv\include\opencv2\gapi\streaming (Files)                                                               |          6 |        251 |        163 |         74 |        488 |
| engine\third-party\opencv\include\opencv2\gapi\streaming\gstreamer                                                             |          2 |         83 |         44 |         31 |        158 |
| engine\third-party\opencv\include\opencv2\gapi\streaming\onevpl                                                                |          5 |        294 |        154 |         97 |        545 |
| engine\third-party\opencv\include\opencv2\gapi\util                                                                            |          8 |        979 |        133 |        232 |      1,344 |
| engine\third-party\opencv\include\opencv2\highgui                                                                              |          2 |        127 |        118 |         56 |        301 |
| engine\third-party\opencv\include\opencv2\imgcodecs                                                                            |          5 |         63 |        103 |         21 |        187 |
| engine\third-party\opencv\include\opencv2\imgcodecs (Files)                                                                    |          4 |         24 |         92 |         16 |        132 |
| engine\third-party\opencv\include\opencv2\imgcodecs\legacy                                                                     |          1 |         39 |         11 |          5 |         55 |
| engine\third-party\opencv\include\opencv2\imgproc                                                                              |          8 |      1,410 |        969 |        375 |      2,754 |
| engine\third-party\opencv\include\opencv2\imgproc (Files)                                                                      |          5 |        891 |        886 |        287 |      2,064 |
| engine\third-party\opencv\include\opencv2\imgproc\detail                                                                       |          1 |        305 |         55 |         36 |        396 |
| engine\third-party\opencv\include\opencv2\imgproc\hal                                                                          |          2 |        214 |         28 |         52 |        294 |
| engine\third-party\opencv\include\opencv2\ml                                                                                   |          2 |         55 |         46 |          9 |        110 |
| engine\third-party\opencv\include\opencv2\objdetect                                                                            |          3 |        184 |        155 |         64 |        403 |
| engine\third-party\opencv\include\opencv2\photo                                                                                |          3 |         34 |        145 |         18 |        197 |
| engine\third-party\opencv\include\opencv2\photo (Files)                                                                        |          2 |         26 |        142 |         14 |        182 |
| engine\third-party\opencv\include\opencv2\photo\legacy                                                                         |          1 |          8 |          3 |          4 |         15 |
| engine\third-party\opencv\include\opencv2\stitching                                                                            |         13 |      1,907 |      1,078 |        622 |      3,607 |
| engine\third-party\opencv\include\opencv2\stitching (Files)                                                                    |          1 |        136 |        105 |         37 |        278 |
| engine\third-party\opencv\include\opencv2\stitching\detail                                                                     |         12 |      1,771 |        973 |        585 |      3,329 |
| engine\third-party\opencv\include\opencv2\video                                                                                |          5 |        469 |        974 |        206 |      1,649 |
| engine\third-party\opencv\include\opencv2\video (Files)                                                                        |          3 |        321 |        774 |        130 |      1,225 |
| engine\third-party\opencv\include\opencv2\video\detail                                                                         |          1 |        138 |        197 |         72 |        407 |
| engine\third-party\opencv\include\opencv2\video\legacy                                                                         |          1 |         10 |          3 |          4 |         17 |
| engine\third-party\opencv\include\opencv2\videoio                                                                              |          5 |        495 |        236 |        131 |        862 |
| engine\third-party\opencv\include\opencv2\videoio (Files)                                                                      |          4 |        141 |        199 |         87 |        427 |
| engine\third-party\opencv\include\opencv2\videoio\legacy                                                                       |          1 |        354 |         37 |         44 |        435 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| e:\work\github\EasyEngine\README.md                                                                                            | Markdown         |          5 |          0 |          2 |          7 |
| e:\work\github\EasyEngine\engine\asset\data\scene.json                                                                         | JSON             |         20 |          0 |          3 |         23 |
| e:\work\github\EasyEngine\engine\configs\global_config.ini                                                                     | Ini              |          6 |          0 |          0 |          6 |
| e:\work\github\EasyEngine\engine\shader\common\animation.vert                                                                  | GLSL             |         30 |          0 |          6 |         36 |
| e:\work\github\EasyEngine\engine\shader\common\depth.frag                                                                      | GLSL             |          4 |          1 |          1 |          6 |
| e:\work\github\EasyEngine\engine\shader\common\depth.vert                                                                      | GLSL             |          8 |          0 |          2 |         10 |
| e:\work\github\EasyEngine\engine\shader\common\depth_cube.frag                                                                 | GLSL             |         10 |          2 |          8 |         20 |
| e:\work\github\EasyEngine\engine\shader\common\depth_cube.geom                                                                 | GLSL             |         19 |          0 |          7 |         26 |
| e:\work\github\EasyEngine\engine\shader\common\depth_cube.vert                                                                 | GLSL             |          7 |          0 |          2 |          9 |
| e:\work\github\EasyEngine\engine\shader\common\equirect_cubemap.frag                                                           | GLSL             |         16 |          1 |          4 |         21 |
| e:\work\github\EasyEngine\engine\shader\common\equirect_cubemap.vert                                                           | GLSL             |          9 |          0 |          2 |         11 |
| e:\work\github\EasyEngine\engine\shader\common\geometry.frag                                                                   | GLSL             |         18 |          0 |          3 |         21 |
| e:\work\github\EasyEngine\engine\shader\common\geometry.vert                                                                   | GLSL             |         19 |          0 |          5 |         24 |
| e:\work\github\EasyEngine\engine\shader\common\geometry_view.frag                                                              | GLSL             |         18 |          0 |          3 |         21 |
| e:\work\github\EasyEngine\engine\shader\common\geometry_view.vert                                                              | GLSL             |         19 |          0 |          5 |         24 |
| e:\work\github\EasyEngine\engine\shader\common\pbr.frag                                                                        | GLSL             |        109 |          8 |         31 |        148 |
| e:\work\github\EasyEngine\engine\shader\common\pbr.vert                                                                        | GLSL             |         21 |          0 |          5 |         26 |
| e:\work\github\EasyEngine\engine\shader\common\triangle.frag                                                                   | GLSL             |         11 |          0 |          4 |         15 |
| e:\work\github\EasyEngine\engine\shader\common\triangle.geom                                                                   | GLSL             |         31 |          0 |          7 |         38 |
| e:\work\github\EasyEngine\engine\shader\common\triangle.vert                                                                   | GLSL             |         23 |          1 |          2 |         26 |
| e:\work\github\EasyEngine\engine\shader\lighting\color.frag                                                                    | GLSL             |          7 |          2 |          3 |         12 |
| e:\work\github\EasyEngine\engine\shader\lighting\color.vert                                                                    | GLSL             |         11 |          0 |          1 |         12 |
| e:\work\github\EasyEngine\engine\shader\lighting\pbr_new.frag                                                                  | GLSL             |         55 |          0 |         12 |         67 |
| e:\work\github\EasyEngine\engine\shader\lighting\phong.frag                                                                    | GLSL             |         95 |          2 |         32 |        129 |
